@relation InstanceResultListener

@attribute Key_Dataset {fixation_to_clicks}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.meta.ClassificationViaRegression,weka.classifiers.trees.DecisionStump}
@attribute Key_Scheme_options {'','-W weka.classifiers.trees.M5P -- -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {5995231201785697655,4500023123618669859,1618384535950391}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

fixation_to_clicks,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7606,846,841,5,0,99.408983,0.591017,0,0,0.01372,0.07739,115.439856,100.96543,44.206941,46.838669,-2.631728,0.052254,0.055365,-0.003111,-304.358303,-0.359762,-688.485335,1,841,1,5,0,0,0,0,0.99409,1,0.997036,?,0.515815,0.995284,0.99409,0.99409,0.00591,0.00591,?,0.99409,?,?,0.515815,0.989467,?,0.99409,0.041,0.01,0.046875,0,46.875,0,3001,647849,73249,99.408983,51.477541,?
fixation_to_clicks,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7606,846,841,5,0,99.408983,0.591017,0,0,0.013059,0.07593,109.87718,99.060422,44.206941,39.725866,4.481075,0.052254,0.046957,0.005297,-253.604209,-0.299769,-573.675095,1,841,1,5,0,0,0,0,0.99409,1,0.997036,?,0.79025,0.998458,0.99409,0.99409,0.00591,0.00591,?,0.99409,?,?,0.79025,0.993344,?,0.99409,0.018,0.004,0.03125,0,31.25,0,3001,647849,73249,99.527187,50.35461,?
fixation_to_clicks,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.015191,0.078994,127.752508,102.997748,44.19817,47.566593,-3.368423,0.052306,0.056292,-0.003986,-290.171773,-0.343399,-656.524398,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.779524,0.998478,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.779524,0.992665,?,0.994083,0.012,0.003,0.015625,0,15.625,0,3001,647934,73164,99.408284,52.662722,?
fixation_to_clicks,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.01437,0.077057,120.84768,100.471965,44.19817,45.342925,-1.144755,0.052306,0.05366,-0.001355,-301.471861,-0.356771,-682.091268,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.541905,0.995626,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.541905,0.989968,?,0.994083,0.013,0.003,0,0,0,0,3001,647934,73164,99.526627,51.952663,?
fixation_to_clicks,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.014754,0.077972,124.077544,101.66504,44.19817,45.784859,-1.586689,0.052306,0.054183,-0.001878,-304.707305,-0.3606,-689.411579,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.647619,0.996775,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.647619,0.99096,?,0.994083,0.016,0.002,0.015625,0,15.625,0,3001,647934,73164,99.408284,51.893491,?
fixation_to_clicks,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.01501,0.078143,126.229315,101.887501,44.19817,51.405365,-7.207195,0.052306,0.060835,-0.008529,-357.527324,-0.423109,-808.91883,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.357857,0.992341,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.357857,0.98652,?,0.994083,0.008,0.002,0,0.015625,0,15.625,3001,647934,73164,99.408284,52.071006,?
fixation_to_clicks,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.016372,0.080369,137.6827,104.790666,44.19817,51.573124,-7.374953,0.052306,0.061033,-0.008728,-329.042746,-0.3894,-744.471417,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.586905,0.996584,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.586905,0.990736,?,0.994083,0.006,0.002,0,0,0,0,3001,647934,73164,99.408284,53.254438,?
fixation_to_clicks,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.012526,0.076504,105.339888,99.75056,44.19817,43.287585,0.910586,0.052306,0.051228,0.001078,-247.977048,-0.293464,-561.057268,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.715476,0.99583,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.715476,0.990107,?,0.994083,0.007,0.002,0,0,0,0,3001,647934,73164,99.408284,50.236686,?
fixation_to_clicks,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.015906,0.079128,133.765439,103.172469,44.19817,53.987628,-9.789458,0.052306,0.063891,-0.011585,-373.555814,-0.442078,-845.183884,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.34881,0.99255,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.34881,0.986712,?,0.994083,0.007,0.002,0,0.015625,0,15.625,3001,647934,73164,99.408284,52.721893,?
