model_name,optimizer,lr,accuracy,val_accuracy,tp %,tn %
model_bigger_biggest_lstm,Adagrad,0.008,"[0.5069368481636047, 0.5000912547111511, 0.5026469230651855, 0.496349036693573, 0.4957101047039032, 0.4958926737308502, 0.4958926737308502, 0.49534502625465393, 0.4950712025165558, 0.49424973130226135, 0.4939759075641632, 0.4940671920776367, 0.4938846230506897, 0.4938846230506897, 0.4940671920776367, 0.4940671920776367, 0.4940671920776367, 0.4938846230506897, 0.49543628096580505, 0.49598392844200134]","[0.5554744601249695, 0.5277372002601624, 0.5058394074440002, 0.5014598369598389, 0.5018247961997986, 0.4978102147579193, 0.4978102147579193, 0.49635037779808044, 0.4952554702758789, 0.4945255517959595, 0.4945255517959595, 0.4945255517959595, 0.49379563331604004, 0.49379563331604004, 0.4930656850337982, 0.49197080731391907, 0.4905109405517578, 0.4905109405517578, 0.4930656850337982, 0.4945255517959595]",0.281786941580756,0.8698224852071006
model_bigger_biggest_lstm,Adagrad,0.001,"[0.4940671920776367, 0.49470609426498413, 0.4951624572277069, 0.4950712025165558, 0.4949799180030823, 0.49470609426498413, 0.49488863348960876, 0.4951624572277069, 0.4950712025165558, 0.4951624572277069, 0.4951624572277069, 0.4952537417411804, 0.4952537417411804, 0.4952537417411804, 0.4952537417411804, 0.4951624572277069, 0.4951624572277069, 0.4951624572277069, 0.4951624572277069, 0.4952537417411804]","[0.4905109405517578, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.4905109405517578, 0.4905109405517578, 0.4905109405517578, 0.4905109405517578, 0.4905109405517578]",0.2696272799365583,0.8757396449704142
model_bigger_biggest_lstm,Adagrad,0.002,"[0.49288061261177063, 0.49534502625465393, 0.49479737877845764, 0.4957101047039032, 0.4957101047039032, 0.4958013892173767, 0.4958013892173767, 0.4957101047039032, 0.4958926737308502, 0.49598392844200134, 0.49598392844200134, 0.49598392844200134, 0.49607521295547485, 0.49616649746894836, 0.49598392844200134, 0.49598392844200134, 0.49598392844200134, 0.49598392844200134, 0.49598392844200134, 0.49607521295547485]","[0.4927007257938385, 0.4927007257938385, 0.49197080731391907, 0.49197080731391907, 0.49197080731391907, 0.49197080731391907, 0.49197080731391907, 0.49197080731391907, 0.49124088883399963, 0.4905109405517578, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49124088883399963, 0.49197080731391907]",0.2696272799365583,0.8727810650887574
model_bigger_biggest_lstm,Adam,0.001,"[0.4312705397605896, 0.4252464473247528, 0.4289886951446533, 0.4299014210700989, 0.43026652932167053, 0.4313618242740631, 0.4313618242740631, 0.43209201097488403, 0.4318181872367859, 0.4324570894241333, 0.4324570894241333, 0.43218326568603516, 0.43209201097488403, 0.43218326568603516, 0.43282219767570496, 0.4326396584510803, 0.43227455019950867, 0.4331873059272766, 0.43455639481544495, 0.44322746992111206]","[0.46058395504951477, 0.3839416205883026, 0.39489051699638367, 0.3956204354763031, 0.3978102207183838, 0.39890509843826294, 0.38978102803230286, 0.3879562020301819, 0.38759124279022217, 0.38467153906822205, 0.3813868761062622, 0.3788321316242218, 0.37956205010414124, 0.37992700934410095, 0.38029196858406067, 0.3791970908641815, 0.3788321316242218, 0.38722628355026245, 0.4299270212650299, 0.5175182223320007]",0.3055775839280994,0.8224852071005917
model_bigger_biggest_lstm,Adam,0.0012,"[0.44258853793144226, 0.4330047369003296, 0.4323658347129822, 0.43291348218917847, 0.4343738555908203, 0.43473896384239197, 0.43583425879478455, 0.4343738555908203, 0.44724351167678833, 0.4665936529636383, 0.4627601206302643, 0.4661372900009155, 0.4562796652317047, 0.4687842130661011, 0.4597480893135071, 0.46997079253196716, 0.47782036662101746, 0.4767250716686249, 0.47964584827423096, 0.47964584827423096]","[0.4832116663455963, 0.36751824617385864, 0.37518247961997986, 0.37518247961997986, 0.38503649830818176, 0.3759123980998993, 0.3832116723060608, 0.390875905752182, 0.4883211553096771, 0.4678831994533539, 0.6375912427902222, 0.6124087572097778, 0.49124088883399963, 0.6251825094223022, 0.49927008152008057, 0.5051094889640808, 0.4802919626235962, 0.4824817478656769, 0.4883211553096771, 0.4861313998699188]",0.246365318530267,0.9378698224852071
model_bigger_biggest_lstm,Adam,0.0014,"[0.46029573678970337, 0.47471705079078674, 0.4721613824367523, 0.4477911591529846, 0.473347932100296, 0.48147132992744446, 0.47060972452163696, 0.494432270526886, 0.4280759394168854, 0.4518072307109833, 0.49224168062210083, 0.4335523843765259, 0.44505295157432556, 0.47955459356307983, 0.46431177854537964, 0.47590360045433044, 0.4525374174118042, 0.4687842130661011, 0.46631982922554016, 0.47900694608688354]","[0.4978102147579193, 0.5664233565330505, 0.5489051342010498, 0.49817517399787903, 0.4978102147579193, 0.5613138675689697, 0.5660583972930908, 0.6295620203018188, 0.3784671425819397, 0.4591240882873535, 0.3791970908641815, 0.38467153906822205, 0.5014598369598389, 0.7375912666320801, 0.7204379439353943, 0.5748175382614136, 0.5003649592399597, 0.6678832173347473, 0.4565693438053131, 0.6770073175430298]",0.8908273856727466,0.19822485207100593
model_bigger_biggest_lstm,Adam,0.0018,"[0.4676889479160309, 0.462395042181015, 0.4405805170536041, 0.4861263334751129, 0.44541803002357483, 0.46504199504852295, 0.4721613824367523, 0.43090543150901794, 0.4687842130661011, 0.5669040083885193, 0.44979920983314514, 0.47051844000816345, 0.4592004418373108, 0.47964584827423096, 0.4738042950630188, 0.4696056842803955, 0.45664477348327637, 0.4652245342731476, 0.48621758818626404, 0.44760861992836]","[0.4613138735294342, 0.4251824915409088, 0.39489051699638367, 0.3474452495574951, 0.34890511631965637, 0.5361313819885254, 0.5744525790214539, 0.3806569278240204, 0.7419707775115967, 0.37043794989585876, 0.6007299423217773, 0.5638686418533325, 0.4861313998699188, 0.4905109405517578, 0.4875912368297577, 0.47408759593963623, 0.49416059255599976, 0.4956204295158386, 0.653649628162384, 0.4996350407600403]",0.26354744911445943,0.9171597633136095
model_bigger_biggest_lstm,Adam,0.002,"[0.48521357774734497, 0.4702446162700653, 0.4828404486179352, 0.5335888862609863, 0.4264329969882965, 0.43282219767570496, 0.42679810523986816, 0.44368383288383484, 0.4526287019252777, 0.46266886591911316, 0.42542898654937744, 0.42862358689308167, 0.43145307898521423, 0.47042715549468994, 0.4586527943611145, 0.46312522888183594, 0.48576122522354126, 0.4341913163661957, 0.4372946321964264, 0.43327856063842773]","[0.6467153429985046, 0.5204379558563232, 0.7335766553878784, 0.37007299065589905, 0.3638686239719391, 0.38686132431030273, 0.36970803141593933, 0.3762773871421814, 0.37518247961997986, 0.7302919626235962, 0.3737226128578186, 0.3613138794898987, 0.3613138794898987, 0.6361314058303833, 0.5361313819885254, 0.6131386756896973, 0.3401459753513336, 0.40401458740234375, 0.3733576536178589, 0.3806569278240204]",0.13005551149881048,1.0
model_bigger_biggest_lstm,Adam,0.01,"[0.4312705397605896, 0.40836071968078613, 0.41995254158973694, 0.422690749168396, 0.4203176200389862, 0.4179444909095764, 0.4201350808143616, 0.42168673872947693, 0.42123037576675415, 0.4148411750793457, 0.41885724663734436, 0.41894853115081787, 0.4232383966445923, 0.41995254158973694, 0.4222343862056732, 0.4237860441207886, 0.42479005455970764, 0.4208652675151825, 0.42734575271606445, 0.419222354888916]","[0.3514598608016968, 0.3397810161113739, 0.34562042355537415, 0.33576643466949463, 0.33905109763145447, 0.3302919566631317, 0.33394160866737366, 0.33576643466949463, 0.3372262716293335, 0.3474452495574951, 0.3372262716293335, 0.3372262716293335, 0.3372262716293335, 0.33795619010925293, 0.3372262716293335, 0.3346715271472931, 0.33795619010925293, 0.3346715271472931, 0.35036495327949524, 0.3375912308692932]",0.0901401004493788,1.0
model_bigger_biggest_lstm,Nadam,0.001,"[0.4232383966445923, 0.42314714193344116, 0.4227820336818695, 0.4225994944572449, 0.4227820336818695, 0.4227820336818695, 0.42314714193344116, 0.4234209656715393, 0.4238773286342621, 0.4238773286342621, 0.4238773286342621, 0.4239686131477356, 0.4240598678588867, 0.42424243688583374, 0.42415115237236023, 0.4240598678588867, 0.4240598678588867, 0.42415115237236023, 0.42433369159698486, 0.42433369159698486]","[0.3394160568714142, 0.3397810161113739, 0.3397810161113739, 0.3397810161113739, 0.3397810161113739, 0.34051093459129333, 0.34087592363357544, 0.34087592363357544, 0.34087592363357544, 0.34051093459129333, 0.34051093459129333, 0.34051093459129333, 0.34051093459129333, 0.34051093459129333, 0.34051093459129333, 0.34051093459129333, 0.34051093459129333, 0.34051093459129333, 0.34087592363357544, 0.34087592363357544]",0.0943695479777954,1.0
