model_name,optimizer,lr,accuracy,val_accuracy,tp %,tn %
model_bigger_biggest_lstm,Adagrad,0.008,"[0.564257025718689, 0.6181088089942932, 0.6255933046340942, 0.6287878751754761, 0.6314348578453064, 0.6284227967262268, 0.6007667183876038, 0.5456370711326599, 0.5211756229400635, 0.4952537417411804, 0.490781307220459, 0.4943409860134125, 0.49470609426498413, 0.49470609426498413, 0.49470609426498413, 0.49552756547927856, 0.49963489174842834, 0.49671411514282227, 0.49653157591819763, 0.49607521295547485, 0.49616649746894836, 0.49653157591819763, 0.4958926737308502, 0.49653157591819763, 0.496349036693573, 0.4962577521800995, 0.49607521295547485, 0.49616649746894836, 0.4964403212070465, 0.49662286043167114]","[0.7474452257156372, 0.7456204295158386, 0.7452554702758789, 0.7525547742843628, 0.7463503479957581, 0.7419707775115967, 0.7361313700675964, 0.5211678743362427, 0.5193430781364441, 0.5178832411766052, 0.5149635076522827, 0.5164233446121216, 0.5131387114524841, 0.510948896408081, 0.5094890594482422, 0.5076642632484436, 0.50620436668396, 0.5054744482040405, 0.5054744482040405, 0.5065693259239197, 0.5051094889640808, 0.5051094889640808, 0.5069342851638794, 0.5054744482040405, 0.5047445297241211, 0.5054744482040405, 0.5047445297241211, 0.5054744482040405, 0.5051094889640808, 0.5029197335243225]",0.2971186888712662,0.849112426035503
model_bigger_biggest_lstm,Adagrad,0.001,"[0.49598392844200134, 0.49835705757141113, 0.4981745183467865, 0.49835705757141113, 0.4981745183467865, 0.498083233833313, 0.49799197912216187, 0.49799197912216187, 0.49799197912216187, 0.49799197912216187, 0.49790069460868835, 0.49799197912216187, 0.49799197912216187, 0.49799197912216187, 0.49799197912216187, 0.49799197912216187, 0.49799197912216187, 0.49799197912216187, 0.49790069460868835, 0.49799197912216187, 0.498083233833313, 0.498083233833313, 0.498083233833313, 0.498083233833313, 0.498083233833313, 0.49790069460868835, 0.49799197912216187, 0.49790069460868835, 0.498083233833313, 0.498083233833313]","[0.49817517399787903, 0.4996350407600403, 0.4996350407600403, 0.49817517399787903, 0.49817517399787903, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016, 0.49671533703804016]",0.2899814961670632,0.8579881656804734
model_bigger_biggest_lstm,Adagrad,0.002,"[0.49671411514282227, 0.4975355863571167, 0.4981745183467865, 0.4981745183467865, 0.49835705757141113, 0.49826580286026, 0.498083233833313, 0.49826580286026, 0.4981745183467865, 0.498083233833313, 0.498083233833313, 0.49799197912216187, 0.49799197912216187, 0.49799197912216187, 0.49799197912216187, 0.498083233833313, 0.49826580286026, 0.498083233833313, 0.498083233833313, 0.498083233833313, 0.498083233833313, 0.4981745183467865, 0.4981745183467865, 0.4981745183467865, 0.4981745183467865, 0.49826580286026, 0.49826580286026, 0.49826580286026, 0.49826580286026, 0.49826580286026]","[0.5021897554397583, 0.5014598369598389, 0.5014598369598389, 0.5010948777198792, 0.5010948777198792, 0.5010948777198792, 0.5003649592399597, 0.5003649592399597, 0.4996350407600403, 0.49890512228012085, 0.49817517399787903, 0.49817517399787903, 0.49817517399787903, 0.49817517399787903, 0.49817517399787903, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.4974452555179596, 0.49817517399787903, 0.49817517399787903, 0.49817517399787903, 0.49817517399787903, 0.49817517399787903]",0.29024583663758924,0.8579881656804734
model_bigger_biggest_lstm,Adam,0.001,"[0.4288061261177063, 0.4373859167098999, 0.43282219767570496, 0.4398503005504608, 0.4366557002067566, 0.43528661131858826, 0.43035778403282166, 0.44003286957740784, 0.4458743929862976, 0.4416757822036743, 0.4445965588092804, 0.46568089723587036, 0.4393026530742645, 0.44605696201324463, 0.4470609724521637, 0.4524461627006531, 0.4403979480266571, 0.44870391488075256, 0.45153340697288513, 0.46020445227622986, 0.4780941903591156, 0.4502555727958679, 0.5925520062446594, 0.4773640036582947, 0.483479380607605, 0.47709017992019653, 0.4794633090496063, 0.48749542236328125, 0.4823840856552124, 0.4661372900009155]","[0.38503649830818176, 0.43905109167099, 0.3905109465122223, 0.45218977332115173, 0.4302919805049896, 0.4102189838886261, 0.386496365070343, 0.3890511095523834, 0.4105839431285858, 0.4343065619468689, 0.4248175323009491, 0.6609489321708679, 0.43905109167099, 0.420073002576828, 0.46277371048927307, 0.4945255517959595, 0.40875911712646484, 0.44270074367523193, 0.47445255517959595, 0.49890512228012085, 0.7430657148361206, 0.741605818271637, 0.74379563331604, 0.5364963412284851, 0.6591240763664246, 0.6226277351379395, 0.6065693497657776, 0.6401459574699402, 0.6215328574180603, 0.6576642394065857]",0.8918847475548507,0.22189349112426035
model_bigger_biggest_lstm,Adam,0.0012,"[0.5419861078262329, 0.4818364381790161, 0.476998895406723, 0.46732383966445923, 0.4818364381790161, 0.48083242774009705, 0.4861263334751129, 0.4569185972213745, 0.479828417301178, 0.46029573678970337, 0.4969879388809204, 0.49543628096580505, 0.48338809609413147, 0.49470609426498413, 0.49853962659835815, 0.45883533358573914, 0.49790069460868835, 0.4822928011417389, 0.48393574357032776, 0.4933369755744934, 0.48922964930534363, 0.479828417301178, 0.5772179365158081, 0.573658287525177, 0.4725264608860016, 0.4993610680103302, 0.48922964930534363, 0.5845199227333069, 0.5021905899047852, 0.4865826964378357]","[0.6277372241020203, 0.5667883157730103, 0.6791970729827881, 0.6383211612701416, 0.5339416265487671, 0.5481751561164856, 0.5562043786048889, 0.5127737522125244, 0.6080291867256165, 0.5007299184799194, 0.6313868761062622, 0.5087591409683228, 0.49854013323783875, 0.6306569576263428, 0.6645985245704651, 0.5069342851638794, 0.6722627878189087, 0.6058394312858582, 0.5, 0.6383211612701416, 0.5967153310775757, 0.5518248081207275, 0.5576642155647278, 0.5883211493492126, 0.5383211970329285, 0.642700731754303, 0.5784671306610107, 0.596350371837616, 0.5288321375846863, 0.5098540186882019]",0.27306370605339675,0.9053254437869822
model_bigger_biggest_lstm,Adam,0.0014,"[0.4933369755744934, 0.5832420587539673, 0.5654435753822327, 0.6419313549995422, 0.5110442042350769, 0.5106790661811829, 0.5675429105758667, 0.5574114918708801, 0.5993063449859619, 0.6575392484664917, 0.4390288293361664, 0.5783132314682007, 0.5996714234352112, 0.5786783695220947, 0.5694596767425537, 0.5840635299682617, 0.5999452471733093, 0.5837897062301636, 0.5890836119651794, 0.5889010429382324, 0.5987586975097656, 0.5981197357177734, 0.5933734774589539, 0.6025009155273438, 0.5923694968223572, 0.6315261125564575, 0.5925520062446594, 0.6382803916931152, 0.64521723985672, 0.6063344478607178]","[0.5047445297241211, 0.5919708013534546, 0.7394160628318787, 0.6602189540863037, 0.5894160866737366, 0.613503634929657, 0.6459854245185852, 0.7485401630401611, 0.7346715331077576, 0.5718978047370911, 0.4000000059604645, 0.5751824975013733, 0.6065693497657776, 0.5686131119728088, 0.5660583972930908, 0.6054744720458984, 0.598905086517334, 0.5883211493492126, 0.581751823425293, 0.5656934380531311, 0.5799270272254944, 0.5748175382614136, 0.575547456741333, 0.6120437979698181, 0.7259123921394348, 0.6726277470588684, 0.508394181728363, 0.735401451587677, 0.7339416146278381, 0.7259123921394348]",0.8818398096748612,0.1834319526627219
model_bigger_biggest_lstm,Adam,0.0018,"[0.6234939694404602, 0.5931909680366516, 0.5889010429382324, 0.47051844000816345, 0.4658634662628174, 0.5437203645706177, 0.5859802961349487, 0.5823293328285217, 0.5876232385635376, 0.5925520062446594, 0.5905439853668213, 0.5914567112922668, 0.48941218852996826, 0.5683643817901611, 0.617652416229248, 0.5619751811027527, 0.5389741063117981, 0.5803213119506836, 0.5845199227333069, 0.595746636390686, 0.6137276291847229, 0.4853048622608185, 0.5485578775405884, 0.5145125985145569, 0.5735669732093811, 0.6233114004135132, 0.5650784969329834, 0.6237677931785583, 0.6387367844581604, 0.617743730545044]","[0.5434306859970093, 0.5759124159812927, 0.4850364923477173, 0.6948904991149902, 0.4857664108276367, 0.4802919626235962, 0.5937955975532532, 0.4565693438053131, 0.437226265668869, 0.5613138675689697, 0.5580291748046875, 0.5908759236335754, 0.4905109405517578, 0.729197084903717, 0.6332116723060608, 0.7054744362831116, 0.4927007257938385, 0.596350371837616, 0.7412408590316772, 0.6197080016136169, 0.5697080492973328, 0.4346715211868286, 0.7153284549713135, 0.5459854006767273, 0.7065693140029907, 0.7171533107757568, 0.6996350288391113, 0.7332116961479187, 0.6843065619468689, 0.7321167588233948]",0.9849325931800159,0.06804733727810651
model_bigger_biggest_lstm,Adam,0.002,"[0.4958926737308502, 0.584793746471405, 0.589996337890625, 0.6277838349342346, 0.6080686450004578, 0.5883533954620361, 0.6451259851455688, 0.654618501663208, 0.6494158506393433, 0.6341730356216431, 0.5632529854774475, 0.5156991481781006, 0.5665388703346252, 0.6352683305740356, 0.6474078297615051, 0.6346294283866882, 0.652519166469574, 0.6578130722045898, 0.5564074516296387, 0.5840635299682617, 0.5068455934524536, 0.5395216941833496, 0.5230010747909546, 0.4995436370372772, 0.5012778639793396, 0.5298466682434082, 0.5368747711181641, 0.5245527625083923, 0.594012439250946, 0.46750637888908386]","[0.6846715211868286, 0.56715327501297, 0.6518248319625854, 0.7025547623634338, 0.4974452555179596, 0.7160583734512329, 0.7047445178031921, 0.7025547623634338, 0.7091240882873535, 0.7412408590316772, 0.49598538875579834, 0.4197080433368683, 0.6996350288391113, 0.6978102326393127, 0.7434306740760803, 0.7266423106193542, 0.7277372479438782, 0.7427007555961609, 0.4711678922176361, 0.5069342851638794, 0.4784671664237976, 0.47919708490371704, 0.48868614435195923, 0.4635036587715149, 0.47481751441955566, 0.7288321256637573, 0.7419707775115967, 0.47956204414367676, 0.575547456741333, 0.4350365102291107]",0.21887390959555908,0.9053254437869822
model_bigger_biggest_lstm,Adam,0.01,"[0.5750274062156677, 0.4561883807182312, 0.551387369632721, 0.6002190709114075, 0.5052026510238647, 0.6063344478607178, 0.6441219449043274, 0.6448521614074707, 0.5962942838668823, 0.6232201457023621, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6331690549850464, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.4350365102291107, 0.7434306740760803, 0.7419707775115967, 0.735401451587677, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
model_bigger_biggest_lstm,Nadam,0.001,"[0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
