@RELATION fixation_to_clicks_a

@ATTRIBUTE FPOGX REAL
@ATTRIBUTE FPOGY REAL 
@ATTRIBUTE FPOGS REAL
@ATTRIBUTE FPOGD REAL 
@ATTRIBUTE CS {0,1}

@DATA
0.3712,0.09546,0,0,0
0.37096,0.0943,0,0.0069,0
0.37075,0.09245,0,0.01316,0
0.37072,0.09099,0,0.01993,0
0.37095,0.08937,0,0.02698,0
0.37116,0.08786,0,0.03385,0
0.37079,0.08632,0,0.04004,0
0.37063,0.08506,0,0.04685,0
0.37046,0.08453,0,0.05356,0
0.37063,0.08423,0,0.06037,0
0.37082,0.08467,0,0.06705,0
0.371,0.08509,0,0.07367,0
0.37083,0.08481,0,0.08036,0
0.37073,0.08413,0,0.08741,0
0.37065,0.08294,0,0.09336,0
0.37072,0.08172,0,0.10047,0
0.3709,0.08047,0,0.10773,0
0.37108,0.07927,0,0.11386,0
0.37086,0.07782,0,0.12094,0
0.3708,0.07616,0,0.12763,0
0.37146,0.04985,0,0.12763,0
0.37121,0.05106,0,0.12763,0
0.37048,0.0628,0,0.12763,0
0.37011,0.06867,0.134,0.02075,0
0.3706,0.06932,0.134,0.02783,0
0.37079,0.06736,0.134,0.03384,0
0.37098,0.063,0.134,0.04053,0
0.37118,0.05937,0.134,0.04727,0
0.37112,0.05758,0.134,0.05383,0
0.37104,0.05821,0.134,0.06039,0
0.37077,0.06115,0.134,0.06693,0
0.37038,0.06625,0.134,0.07385,0
0.37004,0.07056,0.134,0.08029,0
0.37072,0.07107,0.134,0.08701,0
0.3719,0.06803,0.134,0.09381,0
0.37302,0.0625,0.134,0.10028,0
0.37665,0.0613,0.134,0.10873,0
0.37902,0.06181,0.134,0.11414,0
0.38114,0.06228,0.134,0.12366,0
0.38453,0.07005,0.134,0.12881,0
0.38663,0.07997,0.134,0.13422,0
0.40306,0.11617,0.134,0.13422,0
0.44619,0.2302,0.134,0.13422,0
0.44867,0.26108,0.134,0.13422,0
0.46554,0.32996,0.134,0.13422,0
0.47485,0.32909,0.134,0.13422,0
0.47497,0.33078,0.134,0.13422,0
0.47502,0.33162,0.29507,0.02011,0
0.47594,0.33466,0.29507,0.0267,0
0.47472,0.33812,0.29507,0.03366,0
0.47404,0.33814,0.29507,0.04019,0
0.47398,0.33841,0.29507,0.04803,0
0.47318,0.33769,0.29507,0.05331,0
0.47266,0.33545,0.29507,0.05988,0
0.47099,0.33399,0.29507,0.06619,0
0.47051,0.33316,0.29507,0.07327,0
0.46994,0.33481,0.29507,0.08005,0
0.47041,0.33424,0.29507,0.08685,0
0.4697,0.33911,0.29507,0.09326,0
0.46894,0.34531,0.29507,0.10007,0
0.46873,0.34808,0.29507,0.1066,0
0.46785,0.35109,0.29507,0.1134,0
0.46717,0.35207,0.29507,0.12,0
0.4677,0.35109,0.29507,0.12683,0
0.46818,0.34907,0.29507,0.13358,0
0.46867,0.34657,0.29507,0.14011,0
0.46916,0.34581,0.29507,0.14694,0
0.46965,0.34435,0.29507,0.15399,0
0.47004,0.34371,0.29507,0.16068,0
